TRC Number,Account Number,Account Type,Account Name,Post Date,Reference,Additional Reference,Amount,Description,Type,Text,
091101281,2000784,Checking,GENERAL,09/03/2024,"00000035473","00000035473",($73.98),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/03/2024,"00000035471","00000035471",($92.16),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/03/2024,"00000035478","00000035478",($1185.40),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/03/2024,"00000035477","00000035477",($24000.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/04/2024,"ALLPAID           ED","",$110.88,"PREAUTHORIZED ACH CREDIT",Ach,"ALLPAID           EDI/EFTPMT        240904            133133",
091101280,2000784,Checking,GENERAL,09/04/2024,"","",$23314.10,"DEPOSIT",Deposit,"",
091101280,2000784,Checking,GENERAL,09/04/2024,"","",($416.19),"PREAUTHORIZED ACH DEBIT",Ach,"DETOUR VILLAGE    PAYROLL           2409041381892047",
091101280,2000784,Checking,GENERAL,09/04/2024,"00000035482","00000035482",($832.89),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/04/2024,"00000035470","00000035470",($28.89),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/04/2024,"00000035475","00000035475",($200.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/04/2024,"00000035467","00000035467",($1400.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/04/2024,"00000035476","00000035476",($2475.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/04/2024,"00000035472","00000035472",($5815.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/05/2024,"996000905140437","",($87.56),"BOOK TRANSFER DEBIT",,"REF 2491404L      FUNDS TRANSFER TO DEP 2004448       FROM              941 DEPOSIT",
091101280,2000784,Checking,GENERAL,09/06/2024,"","",$4452.82,"DEPOSIT",Deposit,"",
091101280,2000784,Checking,GENERAL,09/06/2024,"00000035488","00000035488",($202.52),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/06/2024,"00000035480","00000035480",($1550.25),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/09/2024,"00000035481","00000035481",($28.36),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/09/2024,"00000035469","00000035469",($2336.00),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/09/2024,"00000035429","00000035429",($2378.50),"CHECK PAID",Check,"",
091101280,2000784,Checking,GENERAL,09/10/2024,"ALLPAID           ED","",$244.44,"PREAUTHORIZED ACH CREDIT",Ach,"ALLPAID           EDI/EFTPMT        240910            148148",
091101280,2000784,Checking,GENERAL,09/10/2024,"","",$30000.00,"DEPOSIT",Deposit,"",
091101280,2000784,Checking,GENERAL,09/10/2024,"","",$103165.05,"DEPOSIT",Deposit,"",
091101280,2000784,Checking,GENERAL,09/10/2024,"00000035490","00000035490",($197.95),"CHECK PAID",Check,"",
